,date,time,location,operator,flight #,pathway,type,registration,cn/in,aboard,fatalities,ground,summary
470,05/24/1938,22:17,"cleveland, ohio",united air lines,9,newark - cleveland - chicago,douglas dst-a-207a,nc18108,1956,10.0,10,0.0,an uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach cleveland airport. the plane struck trees in level flight 8.5 miles east of cleveland airport. a fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.
480,07/29/1938,04:11,pacifiocean between manila and guam,pan american world airways,229,alameda - manila,martin m-130 (flying boat),nc14714,556,15.0,15,0.0,"the plane crashed into the ocean while en route between guam and manilla. the last known position was 12.27 n, 130.40 w or 582 nm east southeast of manila at 04:00 gct. cause unknown. the plane may have been hijacked by the japanese and flown to truk island where the crew and passengers were murdered. the aircraft was named 'hawaii clipper.'"
499,11/29/1938,05:30,"off point reyes, california",united air lines,6,medford - oakland,douglas dc 3-a-sb-3-g-14,nc16066,1907,7.0,7,0.0,"the aircraft ran out of fuel and ditched into the ocean. failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the oakland radio range and of company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply."
504,01/13/1939,21:15,"miles city, montana",northwest orient airlines,1,chicago - seattle,lockheed 14-h super electra,nc17389,1408,4.0,4,0.0,"the aircraft crashed 2,650 feet past the runway boundry after taking off. a fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. it  was not possible to determine the exact origin and source of the fire."
514,03/26/1939,14:48,"oklahoma city, oklahoma",braniff airlines,1,chicago - dallas,douglas dc-2-112,nc13727,1253,12.0,8,0.0,"an explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. the captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. the initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a twa and united dc-2, both of which landed safely."
540,08/31/1940,14:41,"near lovettsville, virginia",pennsylvania central airlines,19,washington d.c. - detroit,douglas dc-3,nc21789,2188,25.0,25,0.0,"the aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near short hill mountain.  disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. with limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  u.s. senator ernest lundeen from minnesota killed."
543,11/04/1940,04:42,"near centerville, utah",united air lines,16,oakland - salt lake city,douglas dc-3,nc16086,1925,10.0,10,0.0,"the aircraft crashed into bountiful peak in the wasatch mountains, during a snowstorm, 3 nm ne of centerville. the failure of the communications operators at tintic, plymouth, and salt lake city, utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by united and approved by the civil aeronautics administration."
547,12/04/1940,17:48,"chicago, illinois",united air lines,21,new york city - chicago,douglas dc-3a,nc25678,2175,16.0,10,0.0,the aircraft crashed while attempting to land at chicago. the failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. a substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. an accumulation of ice on the wings may have increased the stalling speed of the plane.
551,01/23/1941,04:13,"near robertson, missouri",trans continental and western air,6,"kansas city, mo - new york",douglas dc-3-3,nc17315,1930,13.0,2,0.0,"shortly after passing over the west boundary of the airport, the pilot started a left turn. while in the turn, the plane contracted trees 113 feet above the level of the airport.  full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. the aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. the action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the civil aeronautics administration and in maneuvering for such a landing at a dangerously low altitude."
553,02/26/1941,11:50,"atlanta, georgia",eastern air lines,21,new york city -  washington d.c. - atlanta - brownsville,douglas dc-3,nc28394,3204,16.0,9,0.0,"the aircraft crashed into a hill in pine woods, near chandler field, while attempting to make an instrument landing approach in rain and fog. the failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. a substantial contributing factor was the absence of an established uniform cockpit procedure on eastern air lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. captain edward rickenbacker, president of eastern air lines, survived the crash."
563,10/03/1941,17:48,"san juan, puerto rico",pan american world airways,203,miami - buenos aires,sikorsky s-42b (flying boat),nc15376,4206,15.0,2,0.0,"following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.  almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. the failure of the captain to exercise requisite caution and skill in landing. a contributing factor was the smooth surface of the water, which rendered difficult, the captain's depth perception as well as the exact determination of any lateral movement of the aircraft."
565,10/30/1941,02:04,"near moorhead, minnesota",northwest orient airlines,5,minneapolis - fargo,douglas dc-3,nc21712,2124,15.0,14,0.0,"crashed in fog and mist due to icing on the wings. the pilot, clarence bates, was thrown clear of the wreckage and was the lone survivor. accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. action of the captain in descending to attempt a landing at fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate."
566,10/30/1941,22:10,"st. thomas, ontario, canada",american airlines,1,new york - buffalo - chicago - detroit,douglas dc-3,nc25663,2207,20.0,20,0.0,"the aircraft, on a flight from new york to chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. cause unknown."
568,01/16/1942,19:23,"near las vegas, nevada",trans continental and western air,3,las vegas - los angeles,douglas dc-3,nc1946,3295,22.0,22,0.0,"the aircraft crashed into mt. potosi (double up peak, table spring mountain, olcott mountain), 32 miles sw of las vegas, nv, 15 minutes after taking off from the western airlines terminal building at las vegas. the aircraft clipped a rocky ledge, cartwheeled into the face of a cliff and exploded, scattering wreckage at the bottom of a ravine. actress carole lombard, 33, her mother, and press agent  were killed in the crash. her mother did not want to fly and a coin was tossed to see whether the trip would be made by train or plane. the actress was returning from a war-bond promotion.  the flight was 6.7 miles off course for unknown reasons.  failure of the captain to follow a proper course and make use of navigation facilities available to him. a contributing factor was the blackout of beacons in the area made necessary because of the war emergency."
582,05/01/1942,23:00,"salt lake city, utah",united air lines,4,san francisco - new york city,douglas dst-a-207a,nc18146,1978,17.0,17,0.0,"after taking off from salt lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the salt lake city airport. the point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. a deviation from the proper course, for reasons undetermined."
583,05/12/1942,11:51,"miles city, montana",northwest orient airlines,1,chicago - seattle,douglas dc-3-a-269,nc 21714,2129,14.0,3,0.0,"the plane hit an obstruction at the end of the runway, overran the runway boundry and crashed. the failure of the captain to complete the landing run in time to avoid the obstruction at the end of the runway, for reasons undetermined, and his action in attempting to take off after striking the obstruction."
595,10/03/1942,19:05,"botwood, newfoundland",american export airlines,71,"new york - botwood - foynes, ireland",sirkorsky 44a (flying boat),nc41880,4401,37.0,11,0.0,"while attempting to takeoff, aircraft porpoised, attained a height of 35 ft. and then crashed into the water and broke up. inadvertent actuation of the wing flaps to the full 35 degrees position during the take-off run, thereby rendering the aircraft excessively nose-heavy and uncontrollable."
597,10/23/1942,17:15,"palm springs, california",american airlines / military - usaf,28,palm springs - new york city,douglas dc-3 / boeing b-34,nc16017,1555,13.0,12,0.0,"midair collision between an army bomber and airliner over chino canyon near palm springs at 9,000 feet destroying the rudder of the dc-3.  all 12 aboard the dc-3 were killed. the boeing b-34 landed safely with minor damage. the reckless and irresponsible conduct of the bomber pilot, william wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. composer and song writer ralph rainger, 41, killed.`"
599,12/15/1942,01:22,"fairfield, utah",western airlines,13,salt lake - las vegas - burbank,douglas dc-3a,nc16060,1900,19.0,17,0.0,"crashed after performing a violent maneuver.  failure of the left, or possibly both wing tips and of the horizontal  tail  surfaces as a result of a sever pull-up which caused unusual and  abnormally high air loads. the reason the pull-up maneuver was not determined."
604,01/21/1943,07:30,"ukiah, california",pan american world airways,v-1104,hawaii - san francisco,martin m-130 (flying boat),nc14715,557,19.0,19,0.0,"flew into a 2,500 ft. mountain while circling in bad weather, after being unable to land in darkness and deciding whether to divert to san diego. clipped trees, struck the ground and broke up.  failure of the captain to determine his position accurately before descending to a dangerously low altitude under extremely poor weather conditions during the hours of darkness. the aircraft was named philippine clipper."
605,01/22/1943,15:15,"near chaparra, peru",pan american grace airlines,9,"santiago, chili - arequipa, peru - lima, peru",douglas dc-3a,nc33645,4124,15.0,14,0.0,"the aircraft crashed into the mt. chaparra in the andes mountains while en route.  action of the pilot in continuing the flight on instruments in the overcast, contrary to company flight procedure of which, according to the evidence, the pilot was aware."
608,02/22/1943,06:47,"lisbon, portugal",pan american world airways,9035,new york city - lisbon,boeing b-314 (flying boat),nc18603,1990,39.0,25,0.0,"crashed into the targus river in poor weather while attempting to land. inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. the aircraft was named the yankee clipper.  novelist ben robertson and singer, actress tamara drasin, 34, among those killed. actress jane froman seriously injured."
613,06/01/1943,11:00,off the coast of france,british overseas airways,2l272,lisbon - london,douglas dc-3,g-agbb,1590,17.0,17,0.0,"shot down by the german air force over the bay of biscay. the last message received from the plane was it was being attacked by an enemy aircraft. the aircraft had a dutch crew. british actor leslie howard, 42, killed."
620,07/28/1943,22:43,"trammel, kentucky",american airlines,63,cleveland - memphis,douglas dc-3,nc16014,1552,22.0,20,0.0,"the aircraft crashed into trees while attempting to land in strong turbulence and violent downdrafts. there was evidence that most of the occupants in the cabin were victims of suffocation or fire, or both, because of their inability to effect an exit from the aircraft. loss of control of the aircraft due to unusually severe turbulence and violent downdraft caused by a thunderstorm of unknown and unpredictable intensity."
628,10/15/1943,23:17,"near centerville, tennessee",american airlines,63,nashville - memphis,douglas dc3-g102,nc16088,1588,15.0,15,0.0,"the aircraft struck the ground nose-first in a vertical attitude while en route and was completely demolished by the impact. inability of the aircraft to gain or maintain altitude due to carburetor ice, propeller ice or wing ice or some combination of these icing conditions, while over terrain and in weather unsuitable for an emergency landing."
640,02/10/1944,23:36,"memphis, tennessee",american airlines,2,little rock - memphis,douglas dc-3,nc21767,2166,24.0,24,0.0,"the aircraft crashed into a river and sank ,18 miles southwest of memphis, in a snowstorm, while en route from little rock. cause undetermined."
660,08/08/1944,13:20,"off antilla, cuba",pan american world airways,218,antilla - miami,sikorsky s-42 (flying boat),nc823m,4201,31.0,17,0.0,crashed during the third attempt to lift from the water and sank into the ocean. loss of control due to the captain's inexperience in handling the particular type of aircraft. the aircraft was named 'hong kong clipper.'
677,11/04/1944,17:15,"hanford, california",trans continental and western air,8,san francisco - new york city,douglas dc-3,nc28310,2251,24.0,24,0.0,"the wing separated from the aircraft after entering a thunderstorm and encountering severe turbulence. the failure of the airplane's structure as a result of severe turbulence, an important contributing cause was the fact that the airplane was undoubtedly in an abnormal attitude of flight,  i.e., inverted, at the instant of structural failure. the cause of the airplane becoming inverted was not determined."
684,12/01/1944,00:54,"van nuys, california",trans continental and western air,13,san francisco - burbank - new york city,douglas dc-3,nc17322,1965,17.0,9,0.0,the plane crashed and burned 6.5 miles west northwest of the bubank airport in dense fog. the pilot's deviation from the standard instrument approach procedure and descent below the established safe minimum altitude. a contributing factor was the company's failure to enforce adherence to company procedures.
688,01/08/1945,21:16,"port of spain, trinidad",pan american world airways,161,miami - leopoldville,martin m-130 (flying boat),nc14716,558,30.0,23,0.0,"the aircraft crashed 1.25 miles short of the intended landing area in a nose-down attitude at too great a speed and broke up in the water. the first officer's failure to realize his proximity to the water and to correct his attitude for a normal landing and the lack of adequate supervision by the captain during the landing, resulting in the inadvertent flight into the water in excess of normal landing speed and in a nose-down attitude. the aircraft was named china clipper."
689,01/10/1945,04:10,"burbank, california",american airlines,6001,"new york city - juarez, mexico - burbank",douglas dc-3,nc25684,2215,24.0,24,0.0,"the aircraft, lost in fog, crashed into the verdugo mountains,  while attempting to reach palmdale airport, its alternate landing site, after being unable to land at burbank airport. the company ground personnel failed to obtain and transmit important weather to the pilot. improperly executed missed approach by the pilot. actress donna reed was returning from juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass."
699,02/23/1945,02:25,"marion, virginia",american airlines,9,new york city - los angeles,douglas dc-3,n18142,2138,22.0,17,0.0,"the aircraft flew into the summit of glade mountain at 3,900 ft., in heavy rain and turbulence  while en route. the pilot's failure to properly  plan the flight and remain at a safe instrument altitude under existing conditions. a contributing cause of the accident was the company's laxity in dispatching and supervising the flight."
702,04/14/1945,16:58,"morgantown, west virginia",pennsylvania central airlines,142,pittsburgh - morgantown,douglas dc-3,nc25692,2262,20.0,20,0.0,"the aircraft crashed against the slope of cheat mountain at 2,100 ft., 7 miles east northeast of morgantown. the action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude."
720,07/12/1945,14:36,"near florence, south carolina",eastern air lines / military - u.s. army air corps,45,boston - ny - washington dc - jacksonville - miami,douglas dc-3-201c /  army a-26,nc25647,2235,10.0,3,0.0,"after deviating off course 8 miles to avoid military traffic, the two planes collided at 3,000 ft. the commercial pilot landed the plane in a corn field.  two occupants of the a-26 (33-35553) were killed and one parachuted safely. one infant was killed on the dc-3.  lack of vigilance on the part  of the pilots of both aircraft, resulting in the failure of each pilot to see the other aircraft in time to  avoid a collision."
723,08/03/1945,10:11,"fort de france, martinique",pan american world airways,216,port of spain - fort de france,sikorsky s-43 (flying boat),nc15066,4306,14.0,4,0.0,the aircraft crashed while landing at fort de france. the plane sank and 4 passengers drowned. the attempt by the pilot to land the aircraft in conditions of water surface not suitable for landing of a flying boat.
725,09/07/1945,02:13,"florence, south carolina",eastern air lines,42,miami - new york city,douglas dc-3,nc33631,4137,22.0,22,0.0,"fire was discovered on board the aircraft after having passed florence. the fire originated in the general area of the right side of the rear cargo compartment and lavatory. the aircraft descended to a lower altitude while returning to florence, struck two large  trees and crashed.  a fire of undetermined origin in the rear cargo compartment or lavatory which resulted in the inability of the pilot to maintain altitude long enough to effect an emergency landing."
730,10/05/1945,01:05,"lakeland, florida",national airlines,16,miami - jacksonville,lockheed 18 lodestar,nc18199,2265,15.0,2,0.0,crashed into a lake while attempting to execute a missed approach. the faulty execution of a missed approach procedure resulting in settling of the aircraft into a water area beyond the landing runway.
754,12/30/1945,21:13,"new york city, new york",eastern air lines,14,philadelphia - new york city,douglas dc-3,nc18l23,1999,12.0,1,0.0,"the pilot, in the belief that he was encountering engine trouble, attempted a landing despite a landing approach which was too high and too fast. initial contact with the runway was made at a point which provided insufficient room for a landing roll and at an airspeed considerable in excess of normal. the pilot was unable to bring the aircraft to a stop in time to avoid overshooting the runway. the decision of the pilot in attempting a landing from an approach which was too high and too fast."
755,01/06/1946,03:59,"birmingham, alabama",pennsylvania central airlines,105,"new york city - birmingham, al",douglas dc-3,n21786,4131,11.0,3,0.0,"in worsening weather conditions, the plane landed fast and high while making an instrument approach to birmingham, overran the runway, crashed through the barrier fence and into a creek. the action of the pilot in committing himself to a landing from an approach which was too high and too fast."
758,01/18/1946,11:03,"cheshire, connecticut",eastern air lines,16b,new york - boston,douglas dc-3-201e,nc19970,3254,17.0,17,0.0,"the aircraft lost control and spiraled into the ground after the no. 1 engine caught on fire and the left wing separated from the aircraft. the fire, caused by the failure of a fuel line or fuel line connection, led to failure of the left wing."
761,01/31/1946,02:47,"mt. elk, wyoming",united air lines,14,boise - denver,douglas dc-3-194h,nc25675,2147,21.0,21,0.0,"the aircraft crashed into elk mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over elk mountain. flight had originally filed for 13,000 ft.  but later amended the flight plan to 11,000 ft. elk mountain is 11,152 ft. msl."
764,03/03/1946,08:12,"live oak springs, california",american airlines,6-103,dallas - tucon - san diego,douglas dc-3-227b,nc21799,2203,27.0,27,0.0,"while on approach to san diego, the aircraft flew into tierra blanca mountain at an altitude of 4,500 feet in fog, exploded and burned. the crew descended into instrument conditions to an altitude below that required to maintain clearance over thing mountain. the reason for the descent was not determined."
794,08/21/1946,04:19,"moline, illinois",trans luxury airlines,878,teterboro - chicago - san francisco,douglas c-47-dl,n51878,4542,25.0,2,0.0,"while the aircraft was flying near moline, the no. 1 engine failed. the prop was feathered and a descent initiated for an emergency landing.the aircraft overshot the landing and a  go-around was executed. a left turn was made with the gear and flaps extended. the left wing touched the ground and the aircraft cartwheeled. the engine failure was caused by a no. 5 cylinder fracture."
798,09/05/1946,02:00,"elko, nevada",trans-luxury airlines,850,new york city - san francisco,douglas dc-3 (c-47-a5-dl),nc57850,9214,22.0,21,0.0,the aircraft lost contact with the ground in fog and crashed into a hillside while attempting to land at elko airport. a two-year-old boy was the only survivor.
812,10/08/1946,04:33,"cheyenne, wyoming",united air lines,28,san francisco - cheyenne - chicago,douglas dc-4,n30051,10471,41.0,2,0.0,"after two landing attempts, the pilot tried to land on a different runway.  the wing struck the ground and the plane skidded 800 ft.  a loss of altitude during a turn preparatory to a final approach while the pilot was manoeuvring in an attempt to land. the aircraft was named 'mainliner lake michigan.'"
814,10/17/1946,00:57,"laramie, wyoming",national air transport services,942,oakland - chicago,douglas dc-3,nc38942,12971,13.0,13,0.0,crashed during a snowstorm into prairie lands while attempting to land at laramie.  weather conditions were deteriorating rapidly and worse than predicted. the action of the pilot in maneuvering the aircraft at a dangerously low altitude under extremely adverse weather conditions in an attempt to land.  a contributing factor was the negligence of the pilot in planning a flight into an area in which adverse weather conditions were forecast without making adequate provisions for a suitable alternate airport.
818,11/11/1946,03:30,"cleveland, ohio",united air lines,404,chicago - cleveland,douglas dc-3 (c-53d-do),n19947,4873,20.0,2,0.0,struck power lines and trees and crashed 500 feet short of the runway. the error of the pilot in establishing an approach toward an area not cleared for landing as a result of having mistaken the end markers of runway 23 for those of runway 31. a contributing factor was the failure of the pilot to abandon his attempt to land at cleveland airport when confronted with weather conditions below the minimums prescribed for that airport.
819,11/13/1946,03:41,"lebec, california",western airlines,23,palmdale - burbank,douglas c-53d-do (dc-3),nc18645,11662,11.0,11,0.0,"the aircraft crashed into white mountain at an elevation of  6,000 feet, in rain and 70 mph winds after being blown off course while on a heading from palmdale to newhall. possible downdraft. the action of the pilot in making an instrument letdown without previously establishing a positive radio fix. this action was aggravated by conditions of severe static, wind in excess of anticipated velocities, preoccupation with an unusual amount of radio conversation, and the inoperative newhall radio range."
831,12/24/1946,19:19,"near san diego, california",western airlines,44,holtville - san diego,douglas dc-3 ( c-53d-do),nc45395,42-68715,12.0,12,0.0,"crashed east slope of cuyapaipe mountain at 6,120 ft. in san diego county in poor weather conditions. the conduct of the flight at an altitude which would not clear obstructions, due to an error by the pilot in determining his position with respect to laguna mountain."
833,12/28/1946,09:19,"michigan city, indiana",american airlines,2207,buffalo - chicago,douglas dc-3 (c-50a-do),n15577,4805,21.0,2,0.0,crashed after loosing power in both engines due to fuel starvation. the accumulation of carburetor ice following the loss of power in both engines as a result of fuel starvation. the reason for fuel starvation could not be determined.
835,12/28/1946,02:09,"near shannon, ireland",trans continental and western air,6963,paris - shannon,lockheed 049 consellation,nc86505,2026,23.0,13,0.0,"crashed 1 mile from the airport on an island situated on the fergus river. inaccurate altimeter reading caused by the reversal of the primary and statisource lines which resulted in the pilot making his approach at too low an altitude. also, restriction of vision from the cockpit because of fogging of an unheated windshield."
